items,levels
"{1: [1039, 3340, 2031, 3706, 1043, 2055, 1416, 1036, 1036], 2: [1055, 2003, 3340, 1001, 1042, 1042, 3006, 2055, 1053, 3144], 3: [1056, 2003, 2003, 1052, 3108, 3067, 1052, 1052], 4: [2003, 3854, 2003, 1001, 2055, 1029, 2055, 3047, 3364, 2031], 5: [1055, 2003, 1083, 1006, 1001, 1036, 1053, 1036], 6: [1054, 2003, 3340, 3076, 3077], 7: [1039, 2031, 3340, 3706, 3108, 1402, 3020], 8: [1056, 2003, 2003, 3340, 1026, 2003, 3010, 3027, 1001], 9: [1055, 2003, 3340, 1053, 2003, 1036, 1001], 10: [3858, 2003, 2003, 3340, 3047, 1029, 3067, 2055, 2055, 1031]}","{1: 7, 2: 6, 3: 7, 4: 7, 5: 7, 6: 9, 7: 8, 8: 7, 9: 7, 10: 7}"
"{1: [1055, 2003, 3340, 3006, 1053, 2055, 1043, 2055], 2: [1041, 2031, 3340, 1039, 3364, 2055, 3706, 3133, 2055, 2055], 3: [1055, 2003, 3340, 2031, 1055, 1042, 3101, 1036], 4: [3854, 2003, 2003, 3340, 3117, 2055, 1029, 1029], 5: [1055, 3340, 2003, 1036, 1036, 2003, 2003, 3134, 2031, 2055, 1036, 1036], 6: [1055, 2003, 1037, 1027, 3004], 7: [3340, 3850, 2003, 1052, 1004, 1004, 2055, 2003, 2055, 3108, 3364], 8: [2033, 3340, 1082, 1052, 3802, 1052, 2055], 9: [3340, 2003, 1054, 2055, 2031, 1028, 1036, 3057, 3044, 1001], 10: [3340, 2031, 1041, 1036, 1036, 1039, 2055]}","{1: 6, 2: 6, 3: 7, 4: 6, 5: 8, 6: 6, 7: 6, 8: 8, 9: 8, 10: 7}"
"{1: [1082, 2031, 2033, 1001, 2055, 3145, 1028, 3067], 2: [2003, 1054, 3067, 2031, 2055, 3047, 2055], 3: [2031, 1041, 3340, 3715, 1036, 1036, 2055, 1412, 1001, 2055, 1036], 4: [3854, 2003, 2003, 3340, 3117, 1033, 2055, 1057, 1031, 3364, 2055], 5: [1055, 2003, 3340, 3044, 1042, 1042, 3057, 3101, 1042], 6: [1001, 3850, 2003, 1052, 2055], 7: [1039, 2031, 3340, 1036, 3715, 1036], 8: [1056, 2003, 2003, 1001, 2003, 3108, 2031, 1042], 9: [1055, 2003, 3340, 2015, 1018], 10: [2033, 3340, 1053, 1036]}","{1: 8, 2: 8, 3: 6, 4: 7, 5: 7, 6: 4, 7: 6, 8: 8, 9: 7, 10: 8}"
"{1: [1055, 2003, 3340, 1001, 1037, 1055], 2: [3850, 2003, 3340, 2003, 3028, 2003, 1001, 2031, 2055, 1004, 1029], 3: [3340, 1039, 2031, 3364, 3117, 2055, 2055, 3114], 4: [1027, 2031, 3340, 3070, 2055, 1001, 1027, 1028, 2055, 3010], 5: [2033, 3340, 1001, 1029, 3047], 6: [1056, 2003, 2003, 3340, 1052, 1027, 2055, 2031, 3802, 1001, 3030], 7: [1055, 2003, 3006, 2003, 1038], 8: [3854, 2003, 2003, 3340, 3009, 2055, 2055, 2003, 2003, 3364, 1011, 2055], 9: [1041, 2031, 3340, 3077, 1036, 2055, 3134, 1001, 1036], 10: [1055, 2003, 3340, 1042, 1042, 3006, 1042]}","{1: 7, 2: 5, 3: 6, 4: 7, 5: 8, 6: 9, 7: 6, 8: 6, 9: 8, 10: 9}"
"{1: [1041, 2031, 3340, 3715, 1036, 2055, 2055, 1412, 1001, 1036, 3047], 2: [1054, 2003, 3340, 1028, 1028, 3751, 1001, 1029], 3: [3858, 2003, 2003, 1028, 1029, 2031, 3067, 1031, 2055], 4: [1056, 2003, 2003, 1001, 3113, 2031, 2055, 1082], 5: [1055, 2003, 3340, 1036, 1036, 1001, 3133, 2003, 2003, 1042, 2055], 6: [1055, 3340, 2003, 3044, 2055, 3071, 2055], 7: [1039, 2031, 3340, 3715, 3044, 1001, 1027, 1042], 8: [3850, 2003, 2003, 3340, 1056, 1052, 1001, 1028], 9: [1055, 2003, 3340, 1038, 2003, 3133, 2031, 2055, 3508, 2055], 10: [2033, 3340, 1082, 1001, 1028, 3010]}","{1: 7, 2: 7, 3: 6, 4: 8, 5: 6, 6: 8, 7: 8, 8: 5, 9: 7, 10: 8}"
"{1: [1036, 2031, 3340, 1001, 2055, 1006, 3077, 3009, 1036, 1036], 2: [1054, 2003, 3340, 1028, 2055, 2031], 3: [3858, 2003, 2003, 3340, 1001, 2031, 2055], 4: [1039, 2031, 3340, 3706, 3108, 1402, 2055], 5: [1055, 2003, 3340, 1055, 1042, 2003], 6: [3854, 2003, 2003, 3340, 1001, 1029, 2055, 2031, 3364], 7: [1055, 2003, 3340, 1038, 2055], 8: [1041, 2031, 3340, 3706, 1001, 3108, 1082, 3364], 9: [1055, 2003, 3340, 1055, 1001, 1033, 2031, 2055, 3111, 1036], 10: [1054, 2003, 3340, 3108, 2031]}","{1: 8, 2: 8, 3: 6, 4: 7, 5: 7, 6: 6, 7: 6, 8: 6, 9: 8, 10: 8}"
"{1: [2033, 3340, 3134, 2055, 2055, 3111, 1036, 1036], 2: [1041, 2031, 3340, 3715, 1052, 3364, 1414, 2055, 3020, 1052, 2055], 3: [1056, 2003, 2003, 3340, 3010, 2055, 1082, 1026, 1001, 2003, 3027], 4: [3340, 2003, 1054, 1083, 2031, 1027, 1001, 1037], 5: [3850, 2003, 2003, 3340, 1052, 2031, 1004, 1001, 3158, 2055, 3028, 2055, 2055], 6: [1056, 2003, 2003, 3340, 1052, 1052, 2003, 3802, 2055, 2003, 1001, 1052, 2003], 7: [3854, 2003, 2003, 3340, 1001, 2031, 2055, 2055, 1028, 2055, 3364, 1011, 1029, 2055], 8: [1039, 2031, 3340, 1036, 3715, 3133, 2055, 3364, 1412, 2055], 9: [3340, 2033, 1082, 1052, 2055, 3802, 2055, 1001], 10: [2033, 3340, 1036, 3044, 1027, 1042]}","{1: 8, 2: 7, 3: 7, 4: 6, 5: 6, 6: 7, 7: 5, 8: 6, 9: 7, 10: 6}"
"{1: [3850, 2003, 3340, 2031, 1052, 3108], 2: [3340, 1055, 2003, 1027, 3070, 1001, 2055], 3: [2033, 3340, 1036, 1083, 2055, 3144], 4: [1041, 2031, 3340, 3715, 1036, 1001, 2055, 3364, 2055, 2055, 1036, 2055, 2055], 5: [1055, 2003, 3340, 1055, 1001, 3047, 2055], 6: [1041, 3364, 3364, 3340, 2031, 3077, 2055, 3364, 2055, 3134, 2055], 7: [1054, 2003, 3070, 2031, 3010, 2055], 8: [3850, 2003, 2003, 3340, 1052, 2055, 2055, 3364, 3108, 3028], 9: [1054, 2003, 1055, 1036, 1001, 3047, 3077, 2055, 2003], 10: [1055, 3340, 2003, 1001, 1036, 2055, 2003, 3009]}","{1: 5, 2: 6, 3: 8, 4: 6, 5: 7, 6: 7, 7: 8, 8: 5, 9: 8, 10: 6}"
"{1: [2033, 3340, 1036, 1036, 1053, 3144, 1083], 2: [1036, 2031, 1001, 1036, 1036, 3134, 1036, 2055, 3364], 3: [3854, 3340, 2003, 2003, 1001, 2055, 3117, 1029, 2055], 4: [1055, 3340, 2003, 1036, 1036, 3006, 1042, 2003], 5: [1041, 2031, 3340, 3715, 1036, 1036, 1036], 6: [1039, 2031, 3706, 1001, 1036, 1036, 2055, 2055], 7: [1055, 2003, 3340, 1055, 1042, 2003, 1036, 1036, 2003], 8: [2033, 1052, 2055, 1001, 1029, 3047, 2055], 9: [3850, 2003, 2003, 3340, 1001, 2031, 1004, 2055, 1029, 2055], 10: [1054, 2003, 3340, 3191, 1001, 2003, 3076]}","{1: 8, 2: 7, 3: 5, 4: 6, 5: 6, 6: 7, 7: 6, 8: 8, 9: 6, 10: 8}"
"{1: [1041, 2031, 3340, 3364, 3715, 1036, 1036, 1001, 2055, 3133], 2: [2003, 3340, 1054, 1001, 1011, 2031, 2055], 3: [3862, 2003, 2003, 3340, 1036, 1036, 1001, 3134, 1036, 2055, 3364], 4: [1056, 2003, 2003, 3340, 3802, 1056, 1026], 5: [2033, 2055, 1001, 3047, 1028], 6: [3340, 2033, 1055, 1036, 1053, 3144, 1042, 1042], 7: [2033, 3340, 3108, 1042, 1042, 3101, 1001, 1082, 3115], 8: [1055, 2003, 3340, 1037, 1001, 1038, 2031, 3031], 9: [2003, 2003, 3854, 3340, 3117, 2031, 2055, 3801, 1004, 2055, 3364], 10: [1039, 2031, 3340, 3364, 1036, 1036, 3715, 2055]}","{1: 7, 2: 7, 3: 5, 4: 8, 5: 7, 6: 7, 7: 9, 8: 7, 9: 7, 10: 8}"
"{1: [1039, 2031, 3340, 3706, 1052, 2055, 3364, 3108, 1027], 2: [2003, 1055, 1055, 2003, 1036, 1036, 1036, 2003, 3077, 1001], 3: [1055, 2003, 3340, 2031, 1055, 1042, 1001, 2055, 2055, 3006], 4: [3340, 1056, 2003, 2003, 3020, 3136, 2055], 5: [2003, 3862, 2003, 3340, 1036, 1036, 2031, 3134, 1001, 2055], 6: [3340, 2033, 1036, 1036, 3077, 1001, 1053, 3074, 1036, 2055], 7: [3850, 2003, 2003, 3340, 2003, 2055, 1052, 1028, 3136, 3364, 1026], 8: [3340, 1055, 2003, 1036, 2003, 1036, 1001, 2055, 2031, 2055, 3123, 1053], 9: [1055, 2003, 3340, 2003, 2003, 1038, 2003, 1042, 3095, 1001, 2003, 2055], 10: [1039, 2031, 3340, 3158, 1052, 1004, 3113, 2055, 3114, 1004]}","{1: 7, 2: 7, 3: 6, 4: 7, 5: 5, 6: 9, 7: 5, 8: 8, 9: 7, 10: 7}"
"{1: [3340, 1056, 2003, 2003, 3108, 3067, 3145], 2: [2033, 3340, 3134, 1001, 1036, 1036, 2055], 3: [3850, 2003, 2003, 3340, 3108, 1004, 3174], 4: [2033, 3340, 1083, 1036, 1001, 1029, 1036], 5: [1041, 2031, 3340, 1036, 1036, 3364, 2055, 3077, 1001, 1039, 2055, 2055], 6: [1055, 2003, 3340, 1038, 3133, 1001], 7: [1041, 2031, 3340, 3077, 2055, 3364, 1001, 1036, 2055], 8: [1055, 2003, 3340, 1001, 2031, 3044, 3057, 1042], 9: [1036, 2003, 2003, 2003, 3340, 1036, 2031, 2055, 3145, 1053], 10: [3858, 2003, 2003, 3340, 1029, 1029, 3105, 2003, 2055]}","{1: 8, 2: 6, 3: 6, 4: 7, 5: 7, 6: 6, 7: 8, 8: 8, 9: 7, 10: 6}"
"{1: [2031, 1041, 3340, 1036, 3077, 2055, 2055, 1036, 1036, 3133, 3706, 2055], 2: [1055, 2003, 3340, 2031, 1036, 1036, 2055, 1001, 1036, 3077, 1053, 2055], 3: [1056, 2003, 2003, 3340, 2003, 1001, 3145, 2055], 4: [1055, 2003, 1053, 2031, 2055, 1001], 5: [3850, 2003, 2003, 3340, 1004, 1004, 1001, 2055, 3028], 6: [1054, 2003, 1037, 3070, 2003, 3004, 1037, 2055], 7: [3858, 2003, 2003, 3117, 1029, 1028, 3364], 8: [3340, 2003, 1054, 1001, 1028, 2003, 2055, 3047, 2003, 3044, 1042], 9: [1054, 2003, 3340, 1036, 1036, 2003, 3077, 1036, 1036, 1001, 3364, 2003], 10: [1039, 2031, 3340, 3364, 3706, 1052, 1001, 1402, 2055]}","{1: 7, 2: 8, 3: 8, 4: 6, 5: 6, 6: 7, 7: 6, 8: 8, 9: 8, 10: 7}"
"{1: [1041, 2031, 3715, 1036, 2055, 3364, 1412], 2: [1055, 2003, 3340, 1038, 1036, 2003, 2003, 3508], 3: [3854, 2003, 2003, 3340, 1001, 1029, 2055, 3105, 1029, 2055, 3364], 4: [1054, 2003, 3340, 3070, 2031, 1001, 2055, 3802, 2055], 5: [1054, 2003, 3340, 3751, 2003, 2003, 1029, 2055, 2031, 3047], 6: [3850, 2003, 2003, 3340, 1001, 2003, 2055, 3111], 7: [2033, 2055, 1036, 1001, 1028, 2055, 3111], 8: [3340, 2031, 1041, 3715, 1036, 2055, 1036], 9: [1055, 2003, 3340, 1036, 1036, 2003, 2055, 3133, 2003, 2003, 1027, 2055], 10: [3340, 3340, 1056, 2003, 2003, 3340, 3108, 1028, 3067, 3113]}","{1: 7, 2: 7, 3: 7, 4: 8, 5: 7, 6: 5, 7: 7, 8: 6, 9: 5, 10: 7}"
"{1: [2033, 3340, 1036, 1036, 1004], 2: [1041, 2031, 3340, 1412, 2055, 2055], 3: [2033, 3340, 1055, 1006, 1053, 2055, 3144, 1043, 3153], 4: [2033, 1029, 3010, 2055, 1026, 3027], 5: [3850, 2003, 2003, 3340, 3114], 6: [2033, 3340, 1036, 3057, 2055, 3044], 7: [3858, 2003, 2003, 3340, 1001, 2055, 2003, 3117, 2055, 2055], 8: [1056, 2003, 2003, 3340, 1052, 2031, 2055, 1052, 3145, 2055, 1052, 1027], 9: [1055, 2003, 1055, 1001, 3006, 1042, 2003], 10: [1039, 2031, 3340, 3364, 1001, 2055, 2055, 3706, 1052, 2055]}","{1: 7, 2: 8, 3: 8, 4: 8, 5: 6, 6: 8, 7: 5, 8: 6, 9: 8, 10: 6}"
"{1: [1039, 2031, 3077, 2055, 3006, 2055, 3364], 2: [3340, 3858, 2003, 2003, 1001, 1029, 2055, 3024, 1028, 2055], 3: [1054, 2003, 3340, 1038, 2055, 1037, 2055, 1001], 4: [1054, 2003, 3340, 2031, 1052, 1052, 2055, 3145, 1001], 5: [1054, 2003, 3340, 3134, 1036, 1001, 1036, 2055, 3179, 1036], 6: [3858, 2003, 2003, 3340, 2055, 1001, 1029, 1027], 7: [2033, 1082, 1056, 3191, 3158, 2055], 8: [1055, 2003, 3340, 1037, 1004, 2031, 2055, 1001], 9: [1041, 2031, 3340, 3364, 1039, 2055, 3715, 1042, 1042, 2055, 1043, 1001], 10: [1056, 2003, 3340, 2003, 1052, 2055, 3802, 2003, 3145, 3030, 2055, 2003]}","{1: 8, 2: 6, 3: 7, 4: 8, 5: 7, 6: 6, 7: 8, 8: 6, 9: 6, 10: 8}"
"{1: [3854, 2003, 2003, 3340, 1001, 2055, 3117, 2055, 3024], 2: [1055, 2003, 3340, 1038, 1036, 2003, 1018, 1036, 2003], 3: [1054, 2003, 3340, 1052, 2031, 2055, 3191, 1052, 3020, 1028], 4: [3340, 2031, 1039, 3133, 1400, 1001], 5: [2033, 3340, 1029, 1036, 2055, 3047, 1036, 1042, 2055, 3144, 1043, 1036], 6: [2003, 2003, 2003, 1036, 3340, 3364, 3077, 2003, 2055, 3340, 3134, 2055], 7: [1036, 2031, 3340, 1036, 3134, 1001, 1036, 2055, 1036], 8: [3850, 2003, 2003, 3340, 1004, 1052, 3114, 2055], 9: [1055, 2003, 3340, 1038, 2031, 2055, 1001, 1042], 10: [1041, 1006, 3340, 3077, 3715, 1028, 2055]}","{1: 6, 2: 6, 3: 8, 4: 7, 5: 9, 6: 8, 7: 6, 8: 6, 9: 6, 10: 7}"
"{1: [3850, 2003, 2003, 3340, 1082, 1004, 2055, 3108], 2: [1041, 2031, 3340, 3715, 1001, 1036, 1036, 2055, 3364, 1412, 1029], 3: [2033, 3340, 1082, 1056, 2055, 3145, 1001], 4: [1054, 2003, 3340, 1036, 1036, 2055, 3133, 3067, 1001, 2031], 5: [1055, 2003, 3340, 3006, 2055, 2003, 1053, 2003], 6: [2003, 2003, 3854, 1001, 2055, 1029, 3009, 2031, 1027], 7: [1055, 2003, 3340, 1038, 2031, 2055, 3006], 8: [3340, 3340, 1054, 3340, 2003, 3076, 1029, 1028], 9: [1056, 2003, 2003, 2031, 2055, 1082, 1052, 1052, 3802, 1001], 10: [1041, 2031, 3340, 3133, 2055, 1001, 2055]}","{1: 7, 2: 6, 3: 8, 4: 8, 5: 7, 6: 5, 7: 6, 8: 8, 9: 7, 10: 6}"
"{1: [1056, 2003, 2003, 3340, 3196, 1001, 2031, 3197, 2055], 2: [3340, 3340, 1054, 2003, 3340, 1036, 2031, 1006], 3: [1055, 2003, 1055, 1055, 1038, 2055, 2055, 3006], 4: [3858, 2003, 2003, 3340, 3067, 1029, 1001, 2055, 3047], 5: [1039, 2031, 3340, 3706, 3108, 2055, 3364, 1402, 1052], 6: [1055, 2003, 3340, 1036, 1036, 3144, 1001], 7: [1027, 2031, 3340, 3070, 1027, 1052, 1001, 3802], 8: [1056, 2003, 3340, 2003, 1027, 2003, 3802, 2003, 2003, 1026], 9: [3858, 2003, 2003, 3340, 2055, 2003, 1001, 3117, 2055, 2003, 1028], 10: [1039, 2031, 3340, 3117, 3364, 2055, 3801, 1004]}","{1: 8, 2: 8, 3: 6, 4: 6, 5: 7, 6: 6, 7: 8, 8: 7, 9: 6, 10: 6}"
"{1: [1056, 2003, 2003, 1052, 1052, 2003, 2003, 2055, 3145, 3067, 1001, 2031, 2055], 2: [2033, 3340, 1055, 2055, 1036, 1036, 3134, 2055, 1001], 3: [1039, 2031, 3340, 3364, 3706, 1001, 1036, 1004, 1400, 1028, 1036, 2055], 4: [3850, 2003, 2003, 3340, 1052, 1004, 1004, 2055, 2003], 5: [1055, 3340, 3006, 2003, 1055, 1083, 2003], 6: [3340, 1054, 2003, 2055, 2031, 3044, 1053, 2055], 7: [1039, 2031, 3340, 3364, 1001, 3706, 2055, 1052], 8: [2033, 3340, 1055, 2055, 1036, 1036, 3044, 1001, 1042], 9: [3854, 2003, 2003, 3340, 1001, 1029, 2055, 2003, 3117], 10: [1055, 2003, 3340, 1037, 3070, 3004, 1028]}","{1: 8, 2: 7, 3: 7, 4: 6, 5: 6, 6: 8, 7: 6, 8: 8, 9: 5, 10: 7}"
"{1: [1054, 2003, 3133, 1036, 1053], 2: [2033, 3020, 2055, 3802, 3364], 3: [3850, 3340, 2003, 2003, 1001, 1004, 1004, 2003, 3028, 2055, 2055], 4: [1041, 2031, 3340, 3715, 1036, 1412, 2055], 5: [1055, 2003, 1055, 2003, 2003, 1037, 1001, 1004, 2003, 3070], 6: [1041, 2031, 3340, 3077, 3364, 2055], 7: [2033, 1027, 1004, 2055, 3070, 1027, 1082], 8: [2033, 3340, 1036, 1036, 2055, 1053, 3144, 1042, 1042, 2055], 9: [1056, 2003, 2003, 3802, 2031], 10: [3862, 2003, 2003, 3340, 1036, 1036, 2055, 2055, 3134, 1036, 2055]}","{1: 8, 2: 8, 3: 5, 4: 6, 5: 6, 6: 6, 7: 7, 8: 7, 9: 7, 10: 6}"
"{1: [3364, 1039, 3706, 1001, 1052, 3108], 2: [3340, 2033, 1036, 2055, 1028, 3044, 1055, 1042, 1001, 1029], 3: [3854, 2003, 2003, 3009, 1028, 2003, 2003], 4: [1055, 2003, 1038, 1038, 1001], 5: [2033, 3340, 3145, 1001, 1028, 2055, 2055, 3152], 6: [1056, 2003, 2003, 3340, 1027, 1052, 2031, 2055, 3802, 2055], 7: [1039, 2031, 3340, 3364, 3706, 1052, 2055, 3108, 1402], 8: [3850, 2003, 2003, 3340, 3108, 2003, 2031, 2055], 9: [3340, 1055, 2003, 1038, 1001, 1042, 2003], 10: [1055, 2003, 3340, 1036, 1036, 2055, 1036, 2031, 3077]}","{1: 7, 2: 8, 3: 7, 4: 7, 5: 8, 6: 8, 7: 7, 8: 5, 9: 6, 10: 6}"
"{1: [3850, 2003, 2003, 3340, 2031, 1052, 1004, 2055, 3108, 1033, 3028, 1001, 3174, 1004, 2055], 2: [1054, 2003, 3340, 1029, 2055, 3047, 1052, 2031, 3191, 2055], 3: [2031, 3340, 1054, 2055, 1029, 3751, 1031, 1028], 4: [1055, 2003, 3340, 3070, 1001, 2031, 3057, 1037], 5: [1039, 2031, 3340, 1001, 3706, 3364, 1401, 2055, 2055], 6: [2033, 3340, 1036, 3134, 3364, 1036, 1036], 7: [3340, 1036, 2031, 1083, 1036, 1006, 1036, 3077, 1036], 8: [1055, 2003, 3340, 1036, 2003, 1037, 2003, 1036, 2003, 2055, 3133, 1001], 9: [3850, 2003, 2003, 1082, 2003, 3070, 1052], 10: [1039, 2031, 3340, 3706, 1052, 2055, 3108, 1402]}","{1: 6, 2: 8, 3: 8, 4: 6, 5: 8, 6: 7, 7: 8, 8: 7, 9: 5, 10: 8}"
"{1: [1041, 2031, 3340, 1036, 1036, 2055, 1006, 3364, 3077, 1036, 2055, 3134, 2055], 2: [1055, 2003, 3340, 3006, 2003, 2003, 3086, 2031, 2055, 2055], 3: [1056, 2003, 2003, 3340, 1001, 1052, 2055, 1056, 3145], 4: [3858, 2003, 2003, 3340, 3117, 1029, 3024], 5: [2003, 3340, 1055, 3133, 2003, 3006], 6: [2033, 3340, 3067, 3158, 2055, 1036], 7: [3850, 2003, 2003, 3340, 1027, 1004, 2055, 3070, 1082, 1052, 2055, 3364], 8: [1054, 2003, 3340, 3044, 2055, 1001], 9: [1039, 2031, 3364, 3706, 1052, 1082, 1402, 1052, 3020], 10: [1055, 2003, 1036, 1036, 1001, 3133, 3006, 2055]}","{1: 7, 2: 9, 3: 8, 4: 6, 5: 6, 6: 7, 7: 6, 8: 7, 9: 7, 10: 7}"
"{1: [1055, 2003, 3340, 1029, 2031, 1052, 3191, 1052, 2055, 3145], 2: [3340, 1054, 2003, 1001, 1033, 2055, 3111, 1028, 1036], 3: [3340, 3858, 2003, 2003, 1001, 2055, 2031, 1033, 2055, 3111, 2055, 2055], 4: [3340, 2031, 1041, 3751, 2055, 3706, 2055, 1401, 2055], 5: [1055, 2003, 3340, 1036, 1001, 3133, 2031, 3006], 6: [1055, 2003, 3340, 1001, 2003, 2055, 1037, 2003], 7: [3854, 2003, 2003, 3340, 1001, 2031, 2055, 3009, 2055, 1028, 2055, 3801], 8: [1041, 2031, 3340, 3715, 2055, 3364, 1414, 1001], 9: [2033, 1056, 1052, 2055, 3145, 3067, 1001, 3152], 10: [1055, 2003, 3340, 1055, 2031, 3006]}","{1: 7, 2: 8, 3: 5, 4: 6, 5: 6, 6: 7, 7: 6, 8: 7, 9: 8, 10: 8}"
"{1: [1039, 2003, 1001, 2055, 3108, 1082, 1402, 2055], 2: [1036, 2003, 2003, 2003, 3340, 1036, 1052, 2003, 2003, 1052, 2003, 3145, 1001, 2003, 3020, 2003, 2003], 3: [1054, 2003, 3340, 3047, 1036, 2031, 2055, 1053, 1036], 4: [3854, 2003, 2003, 3340, 1001, 2031, 2055, 3117, 2055, 1028, 2055], 5: [2033, 3340, 3134, 1036, 1036, 3179, 3009, 2055], 6: [3854, 2003, 2003, 3340, 1001, 1036, 3134, 3117, 2055], 7: [1056, 2003, 2003, 3067, 2055, 3145, 2055, 3152, 2055, 3364], 8: [1041, 2031, 3340, 3364, 1039, 3706, 1001, 1028, 2055, 3751, 2055, 1401, 1033], 9: [1055, 2003, 1055, 2003, 2055, 1001, 2031, 1038, 2055], 10: [2003, 2003, 2003, 1036, 3340, 1036, 2031, 1083, 1029, 3133, 1028]}","{1: 7, 2: 8, 3: 8, 4: 6, 5: 6, 6: 6, 7: 8, 8: 6, 9: 6, 10: 8}"
"{1: [2033, 3340, 1082, 2055, 3145, 1001, 2055, 3067, 2055], 2: [1039, 2003, 2003, 2003, 3751, 2055], 3: [3858, 2003, 2003, 3340, 1001, 1028, 2055, 3117, 2055, 3364], 4: [1036, 2003, 2003, 2003, 1036, 1055, 2031, 3123, 1036, 3133], 5: [1056, 2003, 2003, 3340, 1056, 2031, 2055, 1027, 3070, 3802, 2055], 6: [3340, 2003, 1056, 2003, 1026, 2031, 1001, 1028, 2055, 3020], 7: [1055, 3340, 2003, 1038, 1001, 1036, 1036, 1042, 1053, 3006], 8: [3850, 2003, 3340, 2003, 3364, 3108, 2055, 1001, 2031, 3158], 9: [1039, 2031, 3340, 3364, 1001, 2055, 3706, 1036, 1036, 2055, 1400], 10: [1055, 2003, 3340, 1055, 2031, 1053, 3144, 1042]}","{1: 8, 2: 6, 3: 6, 4: 7, 5: 6, 6: 7, 7: 7, 8: 6, 9: 8, 10: 9}"
"{1: [2033, 3340, 1028, 3751, 1028, 1029, 2055], 2: [1041, 2031, 3340, 3706, 1036, 1400, 1001, 2055], 3: [3340, 2003, 2003, 1056, 3020, 2055, 1052, 2055, 2003], 4: [1055, 2003, 3340, 1038, 1055, 3133, 1001, 2055], 5: [3862, 2003, 2003, 3134, 2055, 2003, 2003, 2055], 6: [1055, 2003, 3340, 3044, 1042, 3101], 7: [3340, 2033, 1055, 2055, 1036, 3077, 1028, 2055], 8: [3850, 2003, 2003, 3340, 2055, 1001, 2003, 2031, 2055, 1052, 1004, 3364, 3364, 3158, 1004, 3364], 9: [1056, 2003, 2003, 3340, 3108, 1001, 3067], 10: [1041, 2031, 3340, 3706, 1001, 3751, 1029, 2055]}","{1: 8, 2: 7, 3: 8, 4: 6, 5: 7, 6: 7, 7: 8, 8: 6, 9: 8, 10: 7}"
"{1: [2003, 1055, 3340, 1038, 2003, 2055, 1001, 1036, 1036], 2: [1056, 2003, 2003, 3340, 1056, 2003, 2055, 1001, 1052, 3802], 3: [1039, 3340, 2031, 3715, 2055, 3108, 1052, 2055, 1414, 2055], 4: [3850, 2003, 2003, 3340, 1052, 1082, 1001, 2055, 2003, 3020], 5: [1055, 2003, 3340, 1029, 1001, 1036, 1053, 1036, 1042], 6: [3858, 3340, 2003, 2003, 1001, 2055, 2055, 1004, 3111, 2055, 2055, 1029, 3364], 7: [2033, 3111, 1082, 3802, 1028], 8: [1055, 2003, 3340, 1027, 1083, 3070, 1001, 1027], 9: [1039, 1006, 3340, 3077, 2031, 3134, 1036], 10: [1055, 2003, 3340, 1036, 2031, 1036, 3077, 1036, 1028, 3134]}","{1: 7, 2: 7, 3: 7, 4: 6, 5: 7, 6: 5, 7: 8, 8: 6, 9: 7, 10: 8}"
"{1: [3850, 2003, 2003, 3340, 1026, 2031, 1001, 2055, 1052, 1028], 2: [1055, 2003, 3340, 3123, 1001, 1036, 2055, 1053, 1029, 1036], 3: [1056, 2003, 2003, 3340, 1004, 1004, 3114, 3802], 4: [2033, 3340, 1082, 2055, 1001, 2055, 1026, 2055, 1027], 5: [1039, 2031, 3340, 1041, 2055, 3706, 3364, 1036, 1036, 2055], 6: [3850, 2003, 2003, 3340, 1052, 1001, 3113, 1004, 1004, 2055], 7: [1055, 2003, 3340, 2031, 1053, 1001, 1036], 8: [1055, 2003, 3340, 1038, 2003, 3006, 2055], 9: [2031, 3340, 1054, 1028, 2055, 3010, 1033, 1057, 2055], 10: [1041, 2031, 3340, 1036, 1036, 1001, 3706, 2055, 1400, 1036, 1036]}","{1: 6, 2: 8, 3: 7, 4: 8, 5: 7, 6: 6, 7: 8, 8: 6, 9: 8, 10: 7}"
"{1: [2003, 2003, 3340, 3850, 1001, 1052, 2055, 2003, 2055, 2055, 2003, 2003, 3108, 1004, 1004, 2055], 2: [2033, 3340, 3191, 1001, 3010, 1082, 3158], 3: [1041, 2031, 3340, 1036, 1036, 1036, 1006, 3364, 3077, 1036, 2055, 3134], 4: [1055, 2003, 3340, 1036, 2003, 2055, 1038, 3133], 5: [1054, 3340, 2003, 3133, 3067, 2031, 1001, 1036, 1054, 3105], 6: [1054, 2003, 3340, 1036, 1036, 2003, 2003, 1001, 1053], 7: [1039, 2031, 3340, 1402, 2055, 3364, 1001, 1082, 2055, 3020, 3916], 8: [3850, 2003, 2003, 3340, 1028, 1001, 2055, 2003, 2003, 1029, 1011, 3117, 2055], 9: [1055, 2003, 3340, 1036, 1036, 1001, 1027, 1037, 3070], 10: [1036, 2031, 3340, 1036, 1036, 3077, 2055, 3134]}","{1: 6, 2: 8, 3: 6, 4: 7, 5: 9, 6: 7, 7: 9, 8: 6, 9: 6, 10: 8}"
